copyright,date,explanation,hdurl,media_type,service_version,title,url,source,source_url
Damian Peach,2013-07-10,"One of the largest sunspot regions in recent years is now crossing the Sun. This region of convoluted magnetic fields may well produce a solar flare that releases a cloud of energetic particles into the Solar System. Were a very powerful cloud to impact the Earth's magnetosphere, it could be dangerous to Earth-orbiting astronauts and satellites.  Conversely, the impact of even a less energetic cloud might create picturesque aurora.  Pictured above is the sunspot region as it appeared two days ago. The rightmost part of this region has been cataloged as AR 11785, while the left part as AR 11787. The darkest sunspot regions contain nearly vertical magnetic fields and are called umbras, while the surrounding bronze regions -- more clearly showing stringy magnetic flux tubes -- are called penumbras. Churning solar granules, many about 1000 km across, compose the yellow background region.  No one knows what this sunspot region will do, but space weather researchers are monitoring it closely.    Random APOD: Click here to surf the universe",https://apod.nasa.gov/apod/image/1307/ar11785_peach_2320.jpg,image,v1,Large Sunspots Now Crossing the Sun,https://apod.nasa.gov/apod/image/1307/ar11785_peach_960.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2016-04-01,"Looking for an interplanetary vacation destination? Consider a visit to Europa, one of the Solar System's most tantalizing moons. Ice-covered Europa follows an elliptical path in its 85 hour orbit around our ruling gas giant Jupiter. Heat generated from strong tidal flexing by Jupiter's gravity keeps Europa's salty subsurface ocean liquid all year round. That also means even in the absence of sunlight Europa has energy that could support simple life forms. Unfortunately, it is currently not possible to make reservations at restaurants on Europa, where you might enjoy a dish of the local extreme shrimp. But you can always choose another destination from Visions of the Future.",https://apod.nasa.gov/apod/image/1604/europa4500.jpg,image,v1,Europa: Discover Life Under the Ice,https://apod.nasa.gov/apod/image/1604/europa1024c.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2000-12-03,"A magnetic compass does not point toward the true North Pole of the Earth.  Rather, it more closely points toward the North Magnetic Pole of the Earth.  The North Magnetic Pole is currently located in northern Canada.  It wanders in an elliptical path each day, and moves, on the average, more than forty meters northward each day.  Evidence indicates that the North Magnetic Pole has wandered over much of the Earth's surface in the 4.5 billion years since the Earth formed.  The Earth's magnetic field is created by Earth's partially ionized outer core, which rotates more rapidly than the Earth's surface.  Indicated in the above picture is Ellef Ringnes Island, the current location of Earth's North Magnetic Pole.",https://apod.nasa.gov/apod/image/9910/northcanada_noaa_big.jpg,image,v1,Earth's North Magnetic Pole,https://apod.nasa.gov/apod/image/9910/northcanada_noaa.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
Andrea Girones,2025-08-26,"What's hovering above the Sun?  A solar prominence. A prominence is a crest of hot gas expelled from the Sun's surface that is held aloft by the Sun's magnetic field.  Prominences can last for days, can suddenly explode into space, or just fall back to the Sun.  What decides a prominence's fate is how the Sun's complex magnetic field changes -- the field's direction can act like an offramp for trapped solar particles. The 3-second (repeating) time-lapse featured video was captured earlier this month from Ottawa, Ontario, Canada. It shows the development of a larger-than-Earth prominence as it appears to leak solar plasma back to the Sun, over the course of an hour. What is unusual is that the prominence appears to hover -- more simple and typical prominences form magnetic loops that connect back to the surface.  Many hours after this video ended, the hovering prominence disintegrated back into the Sun.    Explore the Universe: Random APOD Generator",,video,v1,A Leaky Solar Prominence,https://apod.nasa.gov/apod/image/2508/LeakySun_Girones.mp4,nasa_apod,https://api.nasa.gov/planetary/apod
Mike Holloway,2004-02-09,"A newly discovered comet may outshine most stars in the sky by May.  Designated Comet C/2002 T7 (LINEAR), the comet was discovered in 2002 October by project LINEAR.  Many reports already place the comet as brighter than magnitude 7, meaning that it can now be seen with binoculars. Reports also indicate the comet already has a visible tail nearly the length of a full Moon. Since predicting the future brightness of comets is a very tricky business, there remains the possibility that T7 might never become visible to the unaided eye.  Alternatively, another comet, C/2001 Q4 (NEAT), may also reach naked eye visibility at nearly the same time, making 2004 April and May two of the busiest bright-comet months in centuries.  Comet T7 can be seen on the above right on January 20, while an airplane trail is visible on the left.",https://apod.nasa.gov/apod/image/0402/cometT7_holloway_big.jpg,image,v1,Announcing Comet C/2002 T7 (LINEAR),https://apod.nasa.gov/apod/image/0402/cometT7_holloway.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2006-06-18,"Gliding silently through the outer Solar System, the Voyager 2 spacecraft camera captured Neptune and Triton together in crescent phase in 1989.  The above picture of the gas giant planet and its cloudy moon was taken from behind just after closest approach.  It could not have been taken from Earth because Neptune never shows a crescent phase to sunward Earth.  The unusual vantage point also robs Neptune of its familiar blue hue, as sunlight seen from here is scattered forward, and so is reddened like the setting Sun.  Neptune is smaller but more massive than Uranus, has several dark rings, and emits more light than it receives from the Sun.",https://apod.nasa.gov/apod/image/0106/neptunetriton_vg2_big.jpg,image,v1,Crescent Neptune and Triton,https://apod.nasa.gov/apod/image/0106/neptunetriton_vg2.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
Zixiong Jin,2025-03-25,"What causes a blue band to cross the Moon during a lunar eclipse? The blue band is real but usually quite hard to see. The featured HDR image of last week's lunar eclipse, however -- taken from Norman, Oklahoma (USA) -- has been digitally processed to exaggerate  the colors.  The gray color on the upper right of the top lunar image is the Moon's natural color, directly illuminated by sunlight. The lower parts of the Moon on all three images are not directly lit by the Sun since it is being eclipsed -- it is in the Earth's shadow. It is faintly lit, though, by sunlight that has passed deep through Earth's atmosphere. This part of the Moon is red -- and called a blood Moon -- for the same reason that Earth's sunsets are red: because air scatters away more blue light than red. The unusual purple-blue band visible on the upper right of the top and middle images is different -- its color is augmented by sunlight that has passed high through Earth's atmosphere, where red light is better absorbed by ozone than blue.   Celestial Surprise: What picture did APOD feature on your birthday? (post 1995)",https://apod.nasa.gov/apod/image/2503/LunarEclipseColors_Jin_2700.jpg,image,v1,A Blue Banded Blood Moon,https://apod.nasa.gov/apod/image/2503/LunarEclipseColors_Jin_960.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
"César Blanco
González",2013-08-22,"The prominent ridge of emission featured in this dramatic skyscape is cataloged as IC 5067. Part of a larger emission nebula with a distinctive shape, popularly called The Pelican Nebula, the ridge spans about 10 light-years following the curve of the cosmic pelican's head and neck. This false color view also translates the pervasive glow of narrow emission lines from atoms in the nebula to a color palette made popular in Hubble Space Telescope images of star forming regions. Fantastic, dark shapes inhabiting the 1/2 degree wide field are clouds of cool gas and dust sculpted by the winds and radiation from hot, massive stars. Close-ups of some of the sculpted clouds show clear signs of newly forming stars. The Pelican Nebula, itself cataloged as IC 5070, is about 2,000 light-years away. To find it, look northeast of bright star Deneb in the high flying constellation Cygnus.",https://apod.nasa.gov/apod/image/1308/IC5067_HaSHOgonzalez_2000.jpg,image,v1,IC 5067 in the Pelican Nebula,https://apod.nasa.gov/apod/image/1308/IC5067_HaSHOgonzalez_950.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2004-07-06,"Could the building blocks of life exist under the smog of Titan?  What is creating all of the methane?  To help answer these questions, the largest and most mysterious moon of Saturn got a quick first look from the Cassini robot spacecraft soon after entering orbit around the giant planet last week.  Although thick atmospheric smog prevented detailed surface images in visible light, infrared light was able to provide interesting clues to the nature of Titan's surface.  The above images show Titan in three different colors of infrared light, with the most energetic on the left.  The leftmost image is the most detailed but shows surface features that are not yet well understood.  The smoothness of the middle image is consistent with a large frozen ocean of water ice containing simple hydrocarbons.  The darker regions on the rightmost image might indicate areas relatively rich in hydrocarbons.  The white spot visible near the South Pole is hypothesized to be a persistent cloud of large particles containing methane.  A better understanding of the mysterious surface of Titan will hopefully be forthcoming as scientists study these images and those from a planned 45 flybys over the next four years.  In January, Cassini is scheduled to drop the Huygens probe onto Titan's surface.",https://apod.nasa.gov/apod/image/0407/titaninfrared_cassini_big.jpg,image,v1,Titan from Cassini in Infrared,https://apod.nasa.gov/apod/image/0407/titaninfrared_cassini.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,1999-10-19,"A magnetic compass does not point toward the true North Pole of the Earth.  Rather, it more closely points toward the North Magnetic Pole of the Earth.  The North Magnetic Pole is currently located in northern Canada.  It wanders in an elliptical path each day, and moves, on the average, more than forty meters northward each day.  Evidence indicates that the North Magnetic Pole has wandered over much of the Earth's surface in the 4.5 billion years since the Earth formed.  The Earth's magnetic field is created by Earth's partially ionized outer core, which rotates more rapidly than the Earth's surface.  Indicated in the above picture is Ellef Ringnes Island, the current location of Earth's North Magnetic Pole.",https://apod.nasa.gov/apod/image/9910/northcanada_noaa_big.jpg,image,v1,Earth's North Magnetic Pole,https://apod.nasa.gov/apod/image/9910/northcanada_noaa.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
